MP_ID,Region,Constituency
c08a4d1bc1a64c658e73772d583b740a,ဧရာဝတီ,ဧရာဝတီ-12
77f7a9f53643408796365ea4123c79f2,ချင်း,ချင်း-12
bf40ac7d5c984beb9b87e39d2361d0b5,ကချင်,ကချင်-4
132778240b2246f68d4a7358871b9937,ဧရာဝတီ,ဧရာဝတီ-2
bef1474c16284c778f4e6a9854c4af13,ဧရာဝတီ,ဧရာဝတီ-4
0f457518b28d4bedb079e0cb0756ab60,ဧရာဝတီ,ဧရာဝတီ-5
ea8e2e91fe104c5e9b876f8c1a9b600b,ဧရာဝတီ,ဧရာဝတီ-6
3c529c34c4ab4f9a80c6b4143fbc791b,ဧရာဝတီ,ဧရာဝတီ-8
7c77665ab3fb4ce781e48b7b4906207d,ဧရာဝတီ,ဧရာဝတီ-9
f832b576ec1f465abb3fc5923cd495ca,ပဲခူး,ပဲခူး-1
16d54eca4c5a4aeeb4112ebee727d9a5,ပဲခူး,ပဲခူး-10
7d2c8645d35c44da86ad3c16191a1a44,ပဲခူး,ပဲခူး-2
bbf187ea236d4c959b681d397744c590,ပဲခူး,ပဲခူး-3
2bc27a30274f4c14836577bd2139bdd5,ပဲခူး,ပဲခူး-5
03b386f3e8184c11b06e5aaf15fe1fb8,ပဲခူး,ပဲခူး-7
21c09e7a776b46a2b4cbd95fe6ecc4d0,ပဲခူး,ပဲခူး-8
c4d91026b6eb48e087dff6fd324c7041,ပဲခူး,ပဲခူး-9
fc952094a42a49eeb6a191ac65789529,ချင်း,ချင်း-10
bdf0e64cc04644f1b9c3925f9cc042af,ချင်း,ချင်း-11
213fd42b962f4e6b99b6f3017dfb5231,ကချင်,ကချင်-2
6f8186ced34a483f983595534fa54570,ချင်း,ချင်း-2
a73230f0627a4a619954b4973de5f91c,ချင်း,ချင်း-4
4b9509d517dc4c27bbcefe27c7e338a3,ချင်း,ချင်း-5
86491c10edfb4e4b9efbc88fe14e0150,ချင်း,ချင်း-6
9de24bf0b5c84505b1e9f96004568653,ချင်း,ချင်း-7
385a793629bb4a55b4758538298ffbb0,ကချင်,ကချင်-9
e025c34273294e819570c6afd6963021,ကချင်,ကချင်-1
37d8113fdf904c058cf0c5d88b8cf316,မကွေး,မကွေး-11
